nationality,gold_count,silver_count,bronze_count
AFG,0,0,0
ALB,0,0,0
ALG,0,2,0
AND,0,0,0
ANG,0,0,0
ANT,0,0,0
ARG,21,1,0
ARM,1,3,0
ARU,0,0,0
ASA,0,0,0
AUS,23,34,25
AUT,0,0,2
AZE,1,7,10
BAH,1,0,5
BAN,0,0,0
BAR,0,0,0
BDI,0,1,0
BEL,2,17,2
BEN,0,0,0
BER,0,0,0
BHU,0,0,0
BIH,0,0,0
BIZ,0,0,0
BLR,1,4,7
BOL,0,0,0
BOT,0,0,0
BRA,37,8,6
BRN,1,1,0
BRU,0,0,0
BUL,0,1,6
BUR,0,0,0
CAF,0,0,0
CAM,0,0,0
CAN,4,4,61
CAY,0,0,0
CGO,0,0,0
CHA,0,0,0
CHI,0,0,0
CHN,46,30,37
CIV,1,0,1
CMR,0,0,0
COD,0,0,0
COK,0,0,0
COL,3,2,3
COM,0,0,0
CPV,0,0,0
CRC,0,0,0
CRO,7,15,2
CUB,5,2,4
CYP,0,0,0
CZE,1,2,12
DEN,15,10,16
DJI,0,0,0
DMA,0,0,0
DOM,0,0,1
ECU,0,0,0
EGY,0,0,3
ERI,0,0,0
ESA,0,0,0
ESP,9,19,17
EST,0,0,4
ETH,1,2,5
FIJ,13,0,0
FIN,0,0,1
FRA,20,54,21
FSM,0,0,0
GAB,0,0,0
GAM,0,0,0
GBR,64,55,26
GBS,0,0,0
GEO,2,1,4
GEQ,0,0,0
GER,49,44,67
GHA,0,0,0
GRE,3,1,3
GRN,0,1,0
GUA,0,0,0
GUI,0,0,0
GUM,0,0,0
GUY,0,0,0
HAI,0,0,0
HKG,0,0,0
HON,0,0,0
HUN,12,3,7
INA,2,2,0
IND,0,1,1
IOA,1,0,1
IRI,3,1,4
IRL,0,3,0
IRQ,0,0,0
ISL,0,0,0
ISR,0,0,2
ISV,0,0,0
ITA,8,40,24
IVB,0,0,0
JAM,11,17,2
JOR,1,0,0
JPN,17,13,35
KAZ,3,5,9
KEN,6,6,1
KGZ,0,0,0
KIR,0,0,0
KOR,13,3,10
KOS,1,0,0
KSA,0,0,0
LAO,0,0,0
LAT,0,0,0
LBA,0,0,0
LBR,0,0,0
LCA,0,0,0
LES,0,0,0
LIB,0,0,0
LIE,0,0,0
LTU,0,2,5
LUX,0,0,0
MAD,0,0,0
MAR,0,0,1
MAS,0,7,1
MAW,0,0,0
MDA,0,0,1
MDV,0,0,0
MEX,0,3,2
MGL,0,1,1
MHL,0,0,0
MKD,0,0,0
MLI,0,0,0
MLT,0,0,0
MNE,0,0,0
MON,0,0,0
MOZ,0,0,0
MRI,0,0,0
MTN,0,0,0
MYA,0,0,0
NAM,0,0,0
NCA,0,0,0
NED,9,25,13
NEP,0,0,0
NGR,0,0,18
NIG,0,1,0
NOR,0,0,19
NRU,0,0,0
NZL,6,25,5
OMA,0,0,0
PAK,0,0,0
PAN,0,0,0
PAR,0,0,0
PER,0,0,0
PHI,0,1,0
PLE,0,0,0
PLW,0,0,0
PNG,0,0,0
POL,3,3,10
POR,0,0,1
PRK,2,3,2
PUR,1,0,0
QAT,0,1,0
ROT,0,0,0
ROU,4,2,11
RSA,2,7,14
RUS,52,29,34
RWA,0,0,0
"Reilly""",NULL,0,0
SAM,0,0,0
SEN,0,0,0
SEY,0,0,0
SIN,1,0,0
SKN,0,0,0
SLE,0,0,0
SLO,1,2,1
SMR,0,0,0
SOL,0,0,0
SOM,0,0,0
SRB,14,26,13
SRI,0,0,0
SSD,0,0,0
STP,0,0,0
SUD,0,0,0
SUI,6,3,2
SUR,0,0,0
SVK,3,5,0
SWE,2,23,3
SWZ,0,0,0
SYR,0,0,0
TAN,0,0,0
TGA,0,0,0
THA,2,2,2
TJK,1,0,0
TKM,0,0,0
TLS,0,0,0
TOG,0,0,0
TPE,1,0,4
TTO,0,0,1
TUN,0,0,3
TUR,1,3,4
TUV,0,0,0
UAE,0,0,1
UGA,0,0,0
UKR,2,8,5
URU,0,0,0
USA,139,54,71
UZB,4,2,7
VAN,0,0,0
VEN,0,1,2
VIE,1,1,0
VIN,0,0,0
YEM,0,0,0
ZAM,0,0,0
ZIM,0,0,0
