,country,bronze_cnt,silver_cnt,gold_cnt
0,AUS,25.0,30.0,23.0
1,AZE,10.0,7.0,1.0
2,BEL,2.0,17.0,2.0
3,BLR,7.0,4.0,1.0
4,BRA,6.0,6.0,37.0
5,CAN,61.0,4.0,4.0
6,CHN,37.0,26.0,38.0
7,COL,3.0,2.0,3.0
8,CRO,2.0,15.0,7.0
9,CUB,4.0,2.0,5.0
10,CZE,12.0,2.0,1.0
11,DEN,16.0,10.0,15.0
12,ESP,17.0,19.0,9.0
13,ETH,5.0,2.0,1.0
14,FRA,21.0,52.0,20.0
15,GBR,26.0,47.0,55.0
16,GEO,4.0,1.0,2.0
17,GER,67.0,40.0,43.0
18,GRE,3.0,1.0,3.0
19,HUN,7.0,3.0,4.0
20,IRI,4.0,1.0,3.0
21,ITA,24.0,40.0,6.0
22,JAM,2.0,17.0,6.0
23,JPN,35.0,13.0,15.0
24,KAZ,9.0,5.0,3.0
25,KEN,1.0,6.0,6.0
26,KOR,10.0,3.0,9.0
27,NED,13.0,25.0,9.0
28,NZL,5.0,25.0,6.0
29,POL,10.0,3.0,3.0
30,PRK,2.0,3.0,2.0
31,ROU,11.0,2.0,4.0
32,RSA,14.0,5.0,2.0
33,RUS,34.0,23.0,46.0
34,SLO,1.0,2.0,1.0
35,SRB,13.0,26.0,14.0
36,SUI,2.0,3.0,6.0
37,SWE,3.0,23.0,2.0
38,THA,2.0,2.0,2.0
39,TUR,4.0,3.0,1.0
40,UKR,5.0,8.0,2.0
41,USA,71.0,46.0,107.0
42,UZB,7.0,2.0,4.0
43,AFG,,,
44,ALB,,,
45,ALG,,2.0,
46,AND,,,
47,ANG,,,
48,ANT,,,
49,ARG,,1.0,21.0
50,ARM,,3.0,1.0
51,ARU,,,
52,ASA,,,
53,AUS,25.0,34.0,23.0
54,AUT,2.0,,
55,AZE,10.0,7.0,1.0
56,BAH,5.0,,1.0
57,BAN,,,
58,BAR,,,
59,BDI,,1.0,
60,BEL,2.0,17.0,2.0
61,BEN,,,
62,BER,,,
63,BHU,,,
64,BIH,,,
65,BIZ,,,
66,BLR,7.0,4.0,1.0
67,BOL,,,
68,BOT,,,
69,BRA,6.0,8.0,37.0
70,BRN,,1.0,1.0
71,BRU,,,
72,BUL,6.0,1.0,
73,BUR,,,
74,CAF,,,
75,CAM,,,
76,CAN,61.0,4.0,4.0
77,CAY,,,
78,CGO,,,
79,CHA,,,
80,CHI,,,
81,CHN,37.0,30.0,46.0
82,CIV,1.0,,1.0
83,CMR,,,
84,COD,,,
85,COK,,,
86,COL,3.0,2.0,3.0
87,COM,,,
88,CPV,,,
89,CRC,,,
90,CRO,2.0,15.0,7.0
91,CUB,4.0,2.0,5.0
92,CYP,,,
93,CZE,12.0,2.0,1.0
94,DEN,16.0,10.0,15.0
95,DJI,,,
96,DMA,,,
97,DOM,1.0,,
98,ECU,,,
99,EGY,3.0,,
100,ERI,,,
101,ESA,,,
102,ESP,17.0,19.0,9.0
103,EST,4.0,,
104,ETH,5.0,2.0,1.0
105,FIJ,,,13.0
106,FIN,1.0,,
107,FRA,21.0,54.0,20.0
108,FSM,,,
109,GAB,,,
110,GAM,,,
111,GBR,26.0,55.0,64.0
112,GBS,,,
113,GEO,4.0,1.0,2.0
114,GEQ,,,
115,GER,67.0,44.0,49.0
116,GHA,,,
117,GRE,3.0,1.0,3.0
118,GRN,,1.0,
119,GUA,,,
120,GUI,,,
121,GUM,,,
122,GUY,,,
123,HAI,,,
124,HKG,,,
125,HON,,,
126,HUN,7.0,3.0,12.0
127,INA,,2.0,2.0
128,IND,1.0,1.0,
129,IOA,1.0,,1.0
130,IRI,4.0,1.0,3.0
131,IRL,,3.0,
132,IRQ,,,
133,ISL,,,
134,ISR,2.0,,
135,ISV,,,
136,ITA,24.0,40.0,8.0
137,IVB,,,
138,JAM,2.0,17.0,11.0
139,JOR,,,1.0
140,JPN,35.0,13.0,17.0
141,KAZ,9.0,5.0,3.0
142,KEN,1.0,6.0,6.0
143,KGZ,,,
144,KIR,,,
145,KOR,10.0,3.0,13.0
146,KOS,,,1.0
147,KSA,,,
148,LAO,,,
149,LAT,,,
150,LBA,,,
151,LBR,,,
152,LCA,,,
153,LES,,,
154,LIB,,,
155,LIE,,,
156,LTU,5.0,2.0,
157,LUX,,,
158,MAD,,,
159,MAR,1.0,,
160,MAS,1.0,7.0,
161,MAW,,,
162,MDA,1.0,,
163,MDV,,,
164,MEX,2.0,3.0,
165,MGL,1.0,1.0,
166,MHL,,,
167,MKD,,,
168,MLI,,,
169,MLT,,,
170,MNE,,,
171,MON,,,
172,MOZ,,,
173,MRI,,,
174,MTN,,,
175,MYA,,,
176,NAM,,,
177,NCA,,,
178,NED,13.0,25.0,9.0
179,NEP,,,
180,NGR,18.0,,
181,NIG,,1.0,
182,NOR,19.0,,
183,NRU,,,
184,NZL,5.0,25.0,6.0
185,OMA,,,
186,PAK,,,
187,PAN,,,
188,PAR,,,
189,PER,,,
190,PHI,,1.0,
191,PLE,,,
192,PLW,,,
193,PNG,,,
194,POL,10.0,3.0,3.0
195,POR,1.0,,
196,PRK,2.0,3.0,2.0
197,PUR,,,1.0
198,QAT,,1.0,
199,ROT,,,
200,ROU,11.0,2.0,4.0
201,RSA,14.0,7.0,2.0
202,RUS,34.0,29.0,52.0
203,RWA,,,
204,"Reilly""",,,
205,SAM,,,
206,SEN,,,
207,SEY,,,
208,SIN,,,1.0
209,SKN,,,
210,SLE,,,
211,SLO,1.0,2.0,1.0
212,SMR,,,
213,SOL,,,
214,SOM,,,
215,SRB,13.0,26.0,14.0
216,SRI,,,
217,SSD,,,
218,STP,,,
219,SUD,,,
220,SUI,2.0,3.0,6.0
221,SUR,,,
222,SVK,,5.0,3.0
223,SWE,3.0,23.0,2.0
224,SWZ,,,
225,SYR,,,
226,TAN,,,
227,TGA,,,
228,THA,2.0,2.0,2.0
229,TJK,,,1.0
230,TKM,,,
231,TLS,,,
232,TOG,,,
233,TPE,4.0,,1.0
234,TTO,1.0,,
235,TUN,3.0,,
236,TUR,4.0,3.0,1.0
237,TUV,,,
238,UAE,1.0,,
239,UGA,,,
240,UKR,5.0,8.0,2.0
241,URU,,,
242,USA,71.0,54.0,139.0
243,UZB,7.0,2.0,4.0
244,VAN,,,
