,nationality,silver_count
2,ALG,2
6,ARG,1
7,ARM,3
10,AUS,34
12,AZE,7
16,BDI,1
17,BEL,17
23,BLR,4
26,BRA,8
27,BRN,1
29,BUL,1
33,CAN,4
38,CHN,30
43,COL,2
47,CRO,15
48,CUB,2
50,CZE,2
51,DEN,10
59,ESP,19
61,ETH,2
64,FRA,54
68,GBR,55
70,GEO,1
72,GER,44
74,GRE,1
75,GRN,1
83,HUN,3
84,INA,2
85,IND,1
87,IRI,1
88,IRL,3
93,ITA,40
95,JAM,17
97,JPN,13
98,KAZ,5
99,KEN,6
102,KOR,3
113,LTU,2
117,MAS,7
121,MEX,3
122,MGL,1
135,NED,25
138,NIG,1
141,NZL,25
147,PHI,1
151,POL,3
153,PRK,3
155,QAT,1
157,ROU,2
158,RSA,7
159,RUS,29
168,SLO,2
172,SRB,26
177,SUI,3
179,SVK,5
180,SWE,23
185,THA,2
193,TUR,3
197,UKR,8
199,USA,54
200,UZB,2
202,VEN,1
203,VIE,1
